requirement_id,section,summary
R6.14,"6. Identity & Access Management","Users may authenticate with Google via the OpenID Connect Authorization Code flow with PKCE, as an alternative to email+password. The client secret is stored in Vault KV (secret/smap/config/google_oauth), never on the application filesystem or in env. authorize and callback are unauthenticated, rate-limited endpoints (see R19.01). The id_token is verified against Google's JWKS with the algorithm pinned to RS256, plus iss, aud (our client id), exp, and nonce; state is single-use and bound to the initiating browser via a short-lived cookie (login-CSRF defense)."
R6.15,"6. Identity & Access Management","A successful Google authentication issues the same session artifacts as R6.03 (RS256 access token, rotating refresh token, Redis session, jti revocation) and is subject to the same ban/lockout/deleted gates (R6.04, R6.13). A first-time Google user with no existing account is provisioned directly as active + email_verified=true, bypassing R6.02 email verification; any Google account is accepted (no Workspace-domain restriction)."
R6.16,"6. Identity & Access Management","Email-collision binding: a Google login whose verified email matches an existing account is bound to that account. If the existing account is already email-verified, the Google identity is auto-linked. If it is not yet verified, the identity is linked, the account is marked verified, and the existing password is invalidated (a reset is required to reuse password login), closing the pre-registration takeover vector. A Google id_token reporting email_verified=false is rejected."
R6.17,"6. Identity & Access Management","A logged-in user may link and unlink a Google identity from their profile. One Google account (sub) maps to at most one user; a user has at most one Google identity. Unlinking is refused when it would remove the account's only remaining credential (no password and no other linked identity) until a password is set; a passwordless account may set an initial password via an emailed set-password token. Link and unlink are audit-logged (auth.oauth.account_linked / auth.oauth.account_unlinked)."
R6.09,"6. Identity & Access Management","Org invitations: Org Owner sends invite by email. If invitee has no account, the invite link lands on a sign-up page; after sign-up + email verification, they are automatically enrolled in the Org. The invite-creation response additionally returns the accept link to the inviter so an installation without outbound mail can deliver it out of band; the response is identical whether or not the address already has an account, and the link is returned only at creation, never by a read endpoint. An invitee who already has an account also receives the invite in their in-app invite inbox, with no mail involved."
R6.10,"6. Identity & Access Management","Project invitations: same UX, Project-scoped."
R6.11,"6. Identity & Access Management","Chat Room Guest links (§13): a URL token that anyone can open. The visitor enters a display name and joins the room immediately as an anonymous guest. No registration or login is required. A visitor who is already logged in is offered a choice between anonymous guest entry and entering with their registered account."
R6.12,"6. Identity & Access Management","Guest links cannot be revoked, expired, password-protected, or use-capped (explicit stakeholder decision, Q43). Guest access is revoked only by deleting the Chat Room or banning the specific user."
R6.13,"6. Identity & Access Management","Bans (Admin only): can ban by user-id, by email, or by IP. Banned users/IPs receive HTTP 403 on any endpoint. All bans are audit-logged."
R6.18,"6. Identity & Access Management","An Admin may provision an account (email, optional display name) without the account holder present. The account is created pending and unverified with no password, and the Admin receives two single-use links to hand over: a set-password link (R6.05 semantics) and an email-verification link (R6.02 semantics). Both may be re-issued on demand. Provisioning does not bypass the email-domain policy of R19a.13, does not create any Org or Project membership, and does not mark the address verified: R6.02's gates apply to the provisioned account exactly as they apply to a self-registered one."
R7.01,"7. API Key Management","Supported providers and their declared capabilities:"
R7.02,"7. API Key Management","Each provider has a validation endpoint hard-coded in the platform:"
R7.03,"7. API Key Management","Plaintext of the key is never returned to any caller, including the uploader, including the Admin, after the initial creation request ends. The API response after upload contains a masked preview (e.g., sk-ant-...xE9a) and the test status only. There is no ""reveal"" endpoint."
R7.04,"7. API Key Management","When a user leaves a Project or is removed, all key_projects rows where key.owner_user_id = removed_user_id are revoked. Active outbound calls using those keys complete but no new calls are issued."
R7.05,"7. API Key Management","Carried keys can be used by Project Owners to build Key Groups. Project Owners can view usage, can view rotation/limit settings, but cannot view the secret (R7.03) and cannot transfer the key to another project."
R7.06,"7. API Key Management","A Key Group is an ordered list of keys (explicit priority: 1, 2, 3, …). Stakeholder chose ordered priority over round-robin (Q27)."
R7.07,"7. API Key Management","Rotation triggers are defined by the group creator (Q25). Configurable per group:"
R7.08,"7. API Key Management","When all keys in the Group are unavailable:"
R7.09,"7. API Key Management","Usage Limitation scope: set per Key, inside the Key Group. Unit: per hour (Q28). Fields:"
R7.09a,"7. API Key Management","A Key Group reference held by any resource (an Agent's key_group_id, a Knowledge Map or GraphRAG config's builder_key_group_id) must resolve to a live Key Group in the same project as the referring resource, and this is re-verified at dispatch time, not only when the reference is written. A deleted Key Group issues no new provider calls (the [R7.04] principle applied to the group rather than the carry); in-flight calls complete. A turn or build that cannot satisfy this is skipped or failed with an actionable reason and an audit record — never silently, and never by falling through to ""no keys available"", which is indistinguishable from exhaustion."
R7.10,"7. API Key Management","The scheduler maintains a per-key sliding-window counter in Redis (1-minute buckets for the trailing 60 minutes) to enforce hourly limits accurately."
R7.11,"7. API Key Management","UI notification: when any key in a Group exceeds 80 % of any of its hourly limits, raise an in-app notification (Q29) to all Project Members with usage-view permission. No email or webhook."
R7.12,"7. API Key Management","Every outbound provider call is recorded: (key_id, agent_id, chatroom_id, input_tokens, output_tokens, request_ms, http_status, error_code_if_any, timestamp). This feeds the per-hour limiter and the UI usage dashboard."
R7.13,"7. API Key Management","Usage is retained for 13 months to allow year-over-year comparisons. After 13 months, rows older than the cutoff are aggregated into daily totals and the raw rows deleted."
R7.14,"7. API Key Management","SMAP does not reconcile with provider-side bills. The counters reflect only SMAP-side observations (stakeholder decision: no billing responsibility)."
R7.15,"7. API Key Management","No API, UI, or admin tool shall decrypt a key to display it. Decryption is invoked only by the Agent Runner for outbound calls, and the plaintext does not cross process boundaries."
R8.01,"8. Organizations, Individuals, Projects","Any verified Individual can create an Org. The creator is tagged is_original_creator = true, role = OrgOwner. Both bits are persisted."
R8.02,"8. Organizations, Individuals, Projects","An Org may have multiple Org Owners."
R8.03,"8. Organizations, Individuals, Projects","The Original Creator cannot:"
R8.04,"8. Organizations, Individuals, Projects","Only the Original Creator can delete an Org. Admin can also force-delete (platform governance)."
R8.05,"8. Organizations, Individuals, Projects","Org creation automatically creates a default Project named Default Project (Q30)."
R8.06,"8. Organizations, Individuals, Projects","Any verified Individual can create a Project they personally own (owner_type = 'user'), independent of any Org. They become Project Owner. They can invite other Individuals as Project Members."
R8.07,"8. Organizations, Individuals, Projects","Individual-owned projects cannot be moved into an Org (Q31: no migration)."
R8.08,"8. Organizations, Individuals, Projects","Within an Org, all Org Owners are implicitly Project Owners of every project in that Org (computed at authorization time, not persisted, per R5.03)."
R8.09,"8. Organizations, Individuals, Projects","Org Members are not implicitly Project Members; they must be invited to each Project individually."
R8.10,"8. Organizations, Individuals, Projects","Project Owners can invite/remove Project Members (both Org Owners and Org Members of the same Org, when Org-owned; any Individual when Individual-owned)."
R8.11,"8. Organizations, Individuals, Projects","Deleting an Org or a Project soft-deletes it (deleted_at = now()). It becomes invisible to non-Admin users immediately."
R8.12,"8. Organizations, Individuals, Projects","A nightly job permanently deletes rows whose deleted_at is older than 60 days. Cascaded cleanups:"
R8.13,"8. Organizations, Individuals, Projects","Within the 60-day window, Admin may restore a soft-deleted resource via POST /api/admin/restore/{type}/{id}, where {type} is one of user, org, project, agent, workflow, chatroom. Restore clears deleted_at; it does not cascade to child resources and does not re-check the 60-day age. Each restore emits an admin.restore_resource audit event."
R8.14,"8. Organizations, Individuals, Projects","Individual account deletion triggers soft-delete of all Individual-owned Projects, and removes the user from all other memberships. For Orgs the user is the Original Creator of, see §8.5 — account deletion is blocked until the role is transferred or the Org is deleted. Same 60-day recovery window applies to soft-deleted resources."
R8.15,"8. Organizations, Individuals, Projects","The Original Creator can initiate a transfer to any other current Org Owner (not an Org Member; they must be promoted to Owner first). Targets who are not already Org Owners are rejected."
R8.16,"8. Organizations, Individuals, Projects","Transfer protocol:"
R8.17,"8. Organizations, Individuals, Projects","At most one pending transfer per Org at any time. New requests while one is pending are rejected with 409."
R8.18,"8. Organizations, Individuals, Projects","When a user with Original Creator status attempts account self-deletion:"
R8.19,"8. Organizations, Individuals, Projects","An Admin can force-transfer Original Creator bypassing consent, in cases where the Original Creator account is inaccessible (bounced email, permanent absence). Always audit-logged as org.original_creator_force_transferred."
R9.01,"9. AI Agents","A Project Owner may create unlimited agents. Hard platform cap: 1 000 agents per project (prevents runaway DoS)."
R9.02,"9. AI Agents","Agents are not versioned; no export/import (Q41). Editing overwrites in place. Prompt templates (§29) may be inserted at authoring time; an applied template leaves no persistent link to its source. Skills (§31) differ: an agent's bound skills are a persistent link (agent_skills), and a skill exports on its own — but a skill export contains no agent, and agent export remains out of scope. A shipped example agent pack ([R30.35]) is instantiated the same way a template is: it creates ordinary project-scoped agents and leaves no persistent link to the pack, and it is not an import mechanism — no agent from any project can be serialized into one."
R9.03,"9. AI Agents","Deleting an Agent soft-deletes it for 60 days (consistent with R8.11) since agents may be referenced by historical chat messages."
R9.03a,"9. AI Agents","Model capability table. The platform holds one capability record per catalogued provider model: its context window and, per request parameter (reasoning effort and its accepted values, sampling controls, vision input), whether that model accepts it. The record is the single source for the agent-config UI, which does not offer a control the selected model refuses, and for request shaping at the adapter boundary, which does not send one. A model id outside the table resolves to a conservative floor: no optional parameter is sent, and the provider's lowest catalogued context window applies. Each record carries the source and date of its verification."
R9.09,"9. AI Agents","context_mode = general: unbounded growth. The system sends the entire chat history (subject to the selected model's hard context limit, at which point the provider will error; this is surfaced to the UI)."
R9.10,"9. AI Agents","context_mode = compact: when the running token count of the next request would exceed context_token_cap (default: 75 % of the selected model's context limit), the system runs /compact:"
R9.10a,"9. AI Agents","An Agent's context_token_cap override is bounded above by the widest model context window the platform supports (currently 1 000 000; see the model catalog). A value above it is rejected at the API with a 422 and by a DB constraint: it cannot be honoured by any provider, and in compact mode it would suppress compaction entirely and guarantee a rejected request. NULL continues to mean the provider-derived default."
R9.11,"9. AI Agents","/compact is retryable; on failure the system keeps the original context and logs the failure to audit."
R9.12,"9. AI Agents","Transport: internal only, no external exposure. Messages flow via the event bus."
R9.13,"9. AI Agents","Message schema (JSON):"
R9.14,"9. AI Agents","Each agent has an inbox (Redis Stream named a2a:agent:{agent_id}). Agents consume in FIFO order."
R9.15,"9. AI Agents","Synchronous A2A: the call type blocks the caller's current turn until a matching reply arrives (timeout default 60 s, configurable per call)."
R9.16,"9. AI Agents","Asynchronous A2A: notify is fire-and-forget; instruct requires acknowledgement (see §15.6 for instruct semantics)."
R9.17,"9. AI Agents","A2A access scope. An Agent may send A2A to another Agent only when:"
R9.18,"9. AI Agents","An agent's configuration may set sampling controls — temperature, top_p, and (where the provider supports it) seed — which are threaded into every provider call for that agent. Unset controls preserve provider defaults. These controls make an agent's output low-variance and reproducible enough to audit (e.g. to compute inter-rater agreement for an LLM-judged scoring agent); they do not guarantee bit-identical output, and seed has no effect on providers without a seed parameter (Anthropic, Gemini)."
R10.01,"10. RAG Subsystem","Supported source formats: pdf, docx, md, txt (Q37)."
R10.02,"10. RAG Subsystem","Per-upload limit: 1 GB (shared with chat-room upload limit, §13). Files older than 3 days are auto-deleted from object store."
R10.03,"10. RAG Subsystem","Parser pipeline:"
R10.04,"10. RAG Subsystem","Chunking strategy (Q37): user picks per RAG config:"
R10.05,"10. RAG Subsystem","Embedding model: choose per RAG config from openai:text-embedding-3-small, openai:text-embedding-3-large, gemini:text-embedding-004, voyage-3 (if user supplies Voyage key). Keys come from the owning project's Key Groups."
R10.06,"10. RAG Subsystem","Vectors are stored in Qdrant with collection name rag_{project_id} and payload {doc_id, chunk_idx, agent_ids[]}. The rag_{project_id} collection has a single fixed embedding dimension per project, pinned by the first config to index and enforced against every later config; a config whose embedding model would select a different dimension is rejected (the File RAG counterpart of the graph-config invariant in [R11.19])."
R10.07,"10. RAG Subsystem","Default top-k = 8. Configurable per agent."
R10.08,"10. RAG Subsystem","Rerank (optional, Q37): cohere:rerank-3 or a local bge-reranker-v2-m3. User choice per RAG config. If Cohere, requires a user-supplied Cohere key; if local, uses the app's bundled reranker service (CPU inference acceptable at 100 users)."
R10.09,"10. RAG Subsystem","Retrieved chunks are inserted as system-role messages tagged type:""rag"" immediately before the user's turn."
R10.10,"10. RAG Subsystem","Uploading RAG documents requires Project Owner role."
R10.11,"10. RAG Subsystem","Documents are scoped per project; they can be shared with multiple Agents in the same Project but never across Projects."
R11.01,"11. Graph RAG Subsystem","Each Graph RAG config declares its own Key Group (Q40) — distinct from the consumer agent's Key Group, so graph-builder costs are billed to a separate owner if desired."
R11.02,"11. Graph RAG Subsystem","Build triggers (Q40) mirror the Agent wakeup_config, with one semantic difference: where an Agent's wake-up counts user messages, the Graph RAG builder counts all chat-room messages (user + agent). Supported triggers:"
R11.03,"11. Graph RAG Subsystem","The builder worker consumes the delta since the last build:"
R11.04,"11. Graph RAG Subsystem","Each build is transactional across Neo4j and Qdrant using a two-phase commit with compensation; a failure does not leave inconsistent state (see §11.2a)."
R11.05,"11. Graph RAG Subsystem","A Concept Map (conversation-derived Graph RAG) is owned by exactly one owner — a chatroom, an agent_group, or a workspace — modelled as typed nullable FK columns with an owner_kind discriminator and a CHECK enforcing exactly one non-null, plus a per-kind partial unique index (one Concept Map per owner). The prior 1:1 Agent binding is removed. A polymorphic owner_id column is explicitly not used, so real FKs preserve referential integrity and enable graph cleanup on owner deletion ([R11.20])."
R11a.01,"11. Graph RAG Subsystem","The build lock is a single Redis key graphrag:lock:{config_id} with 10-minute TTL, released on completion. Only one build per config runs at a time."
R11a.02,"11. Graph RAG Subsystem","Admin can reset a stuck config via POST /api/admin/graphrag/{id}/reset. The reset first acquires the build lock (graphrag:lock:{config_id}, R11a.01), then compensates the two-phase state: it discards any in-flight build by rolling Neo4j back to the pre-build snapshot, deleting the snapshot, and clearing the current-build pointer. On a completed discard it sets last_build_state = 'idle'; the outcomes that do not complete are covered below. A default reset (force=false) returns 409 if a build or heal is in progress and 5xx (no state change, recovery material preserved) if compensation fails, so it never advertises inconsistent state as healthy (R11.04). An explicit force=true overrides lock contention and unsticks the config, but never re-opens reads over an in-flight build whose rollback did not complete. When compensation for such a build cannot complete, because the recovery material was missing (outcome=compensation_unavailable) or because the rollback itself failed (outcome=compensation_failed), the reset records the incomplete outcome (non-null last_build_error) and sets last_build_state = 'recovery_unavailable', which is read-blocked but accepted by manual rebuild. Every other reset sets last_build_state = 'idle', including one over a config that was already settled, since no unresolved build exists there to hide. Every reset is audit-logged."
R11.06,"11. Graph RAG Subsystem","At agent invocation time, the agent's turn triggers a hybrid query:"
R11.07,"11. Graph RAG Subsystem","agent_group is a first-class, project-scoped entity with a member set of Agents (agent_group_members). It may own a Concept Map."
R11.08,"11. Graph RAG Subsystem","The Concept Map delta feed is scoped by owner and deduplicated by message id: chatroom → that room's messages; agent_group → the union of member agents' room messages (SELECT DISTINCT, so a message shared by co-present members is ingested once); workspace → that workspace's room messages."
R11.09,"11. Graph RAG Subsystem","At agent invocation, retrieval draws on every Concept Map covering the agent in the current room (its chatroom map, each enabled agent_group map it belongs to, and the enabled workspace map), merged under the 2 KB cap with narrow-scope precedence and entity dedup. The budget is filled narrowest-first: the chatroom map's ranked results fill first, then each enabled agent_group map, then the enabled workspace map; each wider layer contributes only to the remaining budget, and entity dedup keeps the narrowest occurrence."
R11.10,"11. Graph RAG Subsystem","Privacy default-strict: the chatroom Concept Map layer is enabled by default; agent_group and workspace layers require an explicit concept_map_enabled flag on the owner, settable only by Project Owner, and their enablement is audit-logged. No Concept Map ever spans projects."
R11.11,"11. Graph RAG Subsystem","The Concept Map builder key group is declared on the owning config and validated only for project membership. Because a Concept Map has no single consumer agent (it may be consumed by many agents across layers, and chatroom/workspace owners carry no key group), the [R11.01] builder-vs-consumer distinctness rule does not apply to Concept Maps."
R11.22,"11. Graph RAG Subsystem","An agent_group Concept Map records the contributing member agent as a provenance partition (source_member_id) on each entity and relation. Retrieval reads the shared group map across all members by default; an optional member filter scopes retrieval to a subset of members. The partition is provenance metadata within the group's trust boundary — group membership is itself the read boundary, so a member's contributions are visible to co-members through the shared map. Removing an agent from a group revokes its read access on the next retrieval."
R11.12,"11. Graph RAG Subsystem","A Knowledge Map is a designer-authored Graph RAG built from uploaded documents (the same kind of sources as §10 file-RAG), not from conversation. It owns its own document corpus (knowmap_documents/knowmap_chunks, ingested through the shared parser and chunker), independent of any file-RAG config. It is project-scoped with a per-Agent allowlist, mirroring [R10.11]. It rebuilds on document-set change (upload, delete, reprocess) and on explicit designer rebuild, and is never triggered by conversation."
R11.13,"11. Graph RAG Subsystem","Knowledge Map ingestion reuses the shared document parser (shared_kernel MIME_TO_PARSER) to obtain document text, extracts triples via a document-oriented extractor, and persists to its own Neo4j subgraph + Qdrant collection (knowmap_{project_id}), scoped by its config id."
R11.14,"11. Graph RAG Subsystem","At agent invocation, an attached Knowledge Map is queried as an Axis-1 system block (type:""graphrag"" retained) beside file-RAG, independent of any Concept Map."
R11.15,"11. Graph RAG Subsystem","Knowledge Map and Concept Map are distinct product subsystems (separate config, domain, and UI) that reuse a single shared graph engine through Protocol seams (Neo4j driver, Qdrant store with a parameterized collection prefix, 2PC runner, one embedding-resolution helper, build-state machine, and the TripleExtractor Protocol) plus a neutral shared graph-domain type. Engine plumbing is never forked per subsystem. Graph evidence is a neutral opaque reference token (evidence_refs) decoded per subsystem — a message id for conversation-sourced triples, a document chunk reference for file-sourced triples."
R11.23,"11. Graph RAG Subsystem","A Knowledge Map's per-Agent allowlist is enforced by evidence provenance: each relation and entity records its source knowmap_document ids in its evidence_refs; at retrieval, a relation is visible to an agent only if every one of its source documents is in that agent's allowlist (knowmap_documents.agent_ids), and an entity is surfaced only via a visible relation. An empty allowlist grants no access (secure-by-default, mirroring [R10.11]). Evidence excerpts are hydrated from knowmap_chunks under the same allowed-document set."
R11.24,"11. Graph RAG Subsystem","A Knowledge Map's graph is readable via a bounded node/edge query (GET /api/knowmap-configs/{config_id}/graph, same degree/confidence capping and truncated semantics as the Concept Map graph read) and its build-state transitions are subscribable over a dedicated WebSocket channel (GET /ws/knowmap/{config_id}), both gated by project membership — mirroring [R11.17]'s Concept Map graph/build-status read grant, adapted to Knowledge Map's project-membership (not room-ACL) gating since a Knowledge Map has no chatroom owner."
R11.25,"11. Graph RAG Subsystem","Unlike a Concept Map ([R11.11]), a Knowledge Map has a determinate consumer set — the Agents attached to it via the per-Agent allowlist ([R11.12], [R11.23]) — so the [R11.01] builder-vs-consumer distinctness rule applies: a Knowledge Map's builder Key Group must differ from the consumer Key Group of every Agent attached to it. The invariant is enforced on both mutation paths. On the Agent side, an attach or consumer-key change that would collide is rejected. On the Knowledge Map side, a builder Key Group change that would collide with already-attached Agents is accepted and each colliding Agent is automatically detached from the map (its knowmap_config_id cleared) within the same transaction; every detach is audit-logged with the affected Agent id and reported to the caller."
R11.16,"11. Graph RAG Subsystem","Every graph config satisfies an owner→project invariant: the entity named by owner_id (chatroom, agent_group, or workspace) lives in the config's project. Enforced at create and update; a violating request is rejected. No graph config spans projects."
R11.17,"11. Graph RAG Subsystem","A chatroom-owned Concept Map inherits the room's access ACL (§21.1): only principals permitted to read the room may read its graph or subscribe to its build status. agent_group and workspace maps are gated by project membership plus their concept_map_enabled opt-in, which is set only by a strict Project Owner (the same authority as [R10.10])."
R11.18,"11. Graph RAG Subsystem","Concept Map builds extract triples over a bounded message window; an owner delta larger than the window is processed in bounded batches, so an initial build over a large scope (e.g. a workspace) cannot exceed model/embedding limits or silently produce zero triples."
R11.19,"11. Graph RAG Subsystem","All Concept Maps sharing a project's graph vector collection use a single embedding model/dimension; a config whose builder Key Group would select a different embedding dimension is rejected (or the collection is sharded per config). When several knowledge blocks (File RAG, Knowledge Map, and Concept Map layers) are injected in one turn, their combined size is bounded with narrow-scope precedence."
R11.20,"11. Graph RAG Subsystem","Deleting a graph config, or any owner of one (agent, chatroom, workspace, agent_group), purges the config's Neo4j subgraph and Qdrant points as part of the deleting operation (best-effort, audit-logged); a database cascade is never the sole teardown of an external store. A reconciler sweeps the external stores for graph ids no longer present in Postgres."
R11.21,"11. Graph RAG Subsystem","A Concept Map is a temporal knowledge graph: each entity and relation carries a first_seen_at and last_seen_at timestamp derived from its source messages' timestamps (first-seen earliest-wins, last-seen latest-wins), and the exact User↔Agent conversation timeline is recoverable from the evidence so an agent can reason about ordering and causality. Concept Map retrieval weights results by recency using a per-config half-life (recency_half_life_days, defaulting to a platform setting): an edge's rank is scaled by exp(-Δt / halflife) over its last_seen_at. Knowledge Maps are non-temporal. (Time-travel / bitemporal ""as of date X"" queries are a separate future capability.)"
R12.01,"12. MCP Integration","An agent declares a list of mcp_servers, each with {source, reference, allowlist_of_tools}."
R12.02,"12. MCP Integration","Each MCP call is a distinct audit entry."
R12.03,"12. MCP Integration","Every user-supplied MCP server runs in an ephemeral container with these constraints:"
R12.03a,"12. MCP Integration","The /workspace/agent-files/ region of an Agent's volume is a projection of that Agent's agent_workspace_files rows, and /workspace/skills/ a projection of its bound-skill scripts, not independent state. Each turn that stages either makes the region equal the staged set: a file no longer in the set is removed from the volume, not merely omitted from the Agent's file listing. Reconciliation is authoritative over any cached belief about the volume's contents. The rest of the volume — the file tool's own state — is Agent-authored and is never reconciled against a table."
R12.03b,"12. MCP Integration","Per-chatroom execution state (staged attachments inputs/ and generated artifacts outputs/) lives on a per-(agent, chatroom) named Docker volume (smap-agent-session-{agent_id}-{chatroom_id}) mounted read-write at /session, and never on the per-agent volume of [R12.03]. The guarantee is one of presence, not of information flow: a chatroom's execution context mounts only its own session volume, so no other chatroom's session state is present in it. That is a property of the mount, which holds whatever code the Agent runs, and it is what makes the guarantee meaningful for code_exec, which executes arbitrary code and therefore cannot be confined by a path check. The per-agent volume of [R12.03] remains shared across all of the Agent's chatrooms by design: the file tool's state, /workspace/agent-files/ and /workspace/skills/ are Agent-scoped, not room-scoped. That shared volume is mounted read-only in a chatroom's code_exec kernel, so an Agent cannot copy session data onto it and read that data back in another chatroom. Writes to Agent-scoped state go through the file tool, whose container is not room-scoped and whose write path cannot create a symlink. The isolation of session state is therefore a property of the mounts on both sides (what is present in a chatroom's context, and what that context may write) rather than of the Agent's behaviour. Session volumes are garbage-collected when their Agent is collected under [R12.03]'s retention rule, or when their chatroom ceases to exist."
R12.04,"12. MCP Integration","Egress Proxy is a FastAPI-based HTTPS forward proxy that:"
R12.05,"12. MCP Integration","Built-in code_exec uses the same sandbox but with a curated image (python:3.12-slim + common scientific libs) and the same gVisor policy."
R12.06,"12. MCP Integration","URL-based MCP calls do not use the sandbox but are always routed through the Egress Proxy; the same allowlist applies."
R12.07,"12. MCP Integration","The built-in web_search tool is a platform-written adapter with a pluggable provider interface. Supported providers in v1: Brave Search, Serper, Tavily, Google Programmable Search (CSE)."
R12.08,"12. MCP Integration","Search API keys are supplied by Project Owners, never by the platform. Keys are stored using the same envelope-encryption scheme as LLM provider keys (§7.6), in a separate row class (search_keys) so they cannot be confused with LLM keys at the API layer."
R12.09,"12. MCP Integration","Per Project, at most one active search provider may be configured at any time; switching the provider is a single write that invalidates cache."
R12.10,"12. MCP Integration","If a Project has no active search key:"
R12.11,"12. MCP Integration","Adapter contract. Each provider adapter implements:"
R12.12,"12. MCP Integration","top_k default 5, hard max 20. Results are capped at 4 KB total serialized size before being returned to the agent, to prevent context bloat."
R12.13,"12. MCP Integration","Caching. The adapter caches (provider, query_normalized, top_k, locale, freshness) → results in Redis for 10 minutes (key search:{hash}) to avoid billing duplicate user questions. Cache is scoped per Project; no cross-Project cache hits."
R12.14,"12. MCP Integration","Rate limiting. Per Project, max 60 searches / minute (configurable by Admin) to shield against runaway agents. Exceeding the rate returns tool_rate_limited."
R12.15,"12. MCP Integration","All search calls are audit-logged as mcp.tool_invoked with tool=""web_search"", truncated query preview (≤ 256 chars), provider name, HTTP status, result count."
R12.16,"12. MCP Integration","The Proxy's allowlist receives a provider's documented hostname automatically when a search key for that provider is activated for the Project — api.search.brave.com, google.serper.dev, api.tavily.com, or www.googleapis.com respectively. The entry is attributed to the activating user and audited as any manual addition is, and a Project Owner may remove it. Hostnames for hosted_mcp bindings are not added automatically, because they are operator-supplied; the agent tool list warns when a bound host is absent from the allowlist."
R12.17,"12. MCP Integration","The v1 release ships one adapter implemented end-to-end plus the plug-in framework; the remaining three adapters are thin classes that conform to the same protocol and ship in the same release only after a parity test. The default adapter to implement first is tracked as an open item (see §26); the stakeholder selection will be recorded there before implementation begins."
R13.01,"13. Chat Rooms","A Project contains N Workspaces, 1:N (Q42). Workspaces cannot be nested."
R13.02,"13. Chat Rooms","Every Workspace contains at least one Chat Room (Q42). Deleting the last Chat Room in a Workspace creates a new default one."
